0	0	0	0	0	0
0	0	128	32	21	128
0	0	256	62	41	250
0	0	384	93	62	374
0	0	512	124	83	498
0	0	640	155	103	620
0	0	768	184	122	738
0	0	896	215	143	863
0	0	1023	245	163	982
0	128	0	73	135	41
0	128	128	75	131	132
0	128	256	92	135	261
0	128	384	112	136	380
0	128	512	137	145	497
0	128	640	165	156	618
0	128	768	192	169	737
0	128	896	222	184	861
0	128	1023	250	195	980
0	256	0	143	266	81
0	256	128	139	254	141
0	256	256	149	258	263
0	256	384	162	259	390
0	256	512	179	261	507
0	256	640	198	265	623
0	256	768	221	271	737
0	256	896	246	280	863
0	256	1023	271	287	980
0	384	0	212	394	120
0	384	128	209	387	161
0	384	256	209	376	269
0	384	384	222	385	393
0	384	512	233	384	514
0	384	640	246	382	628
0	384	768	262	384	740
0	384	896	284	390	869
0	384	1023	306	397	987
0	512	0	280	521	159
0	512	128	278	515	187
0	512	256	278	508	282
0	512	384	282	505	396
0	512	512	294	511	519
0	512	640	304	508	637
0	512	768	317	509	751
0	512	896	333	512	867
0	512	1023	351	515	988
0	640	0	346	642	196
0	640	128	345	639	219
0	640	256	344	633	303
0	640	384	347	631	409
0	640	512	353	628	521
0	640	640	364	633	640
0	640	768	374	633	755
0	640	896	388	635	876
0	640	1023	401	634	987
0	768	0	411	763	233
0	768	128	408	757	256
0	768	256	408	754	326
0	768	384	411	751	424
0	768	512	415	749	531
0	768	640	422	749	644
0	768	768	433	754	758
0	768	896	444	754	877
0	768	1023	458	758	997
0	896	0	473	878	269
0	896	128	471	875	288
0	896	256	472	872	351
0	896	384	475	872	443
0	896	512	479	871	546
0	896	640	485	872	655
0	896	768	494	874	767
0	896	896	503	874	884
0	896	1023	514	876	1001
0	1023	0	539	1000	306
0	1023	128	537	997	323
0	1023	256	538	996	379
0	1023	384	540	995	463
0	1023	512	542	992	560
0	1023	640	549	995	668
0	1023	768	556	996	775
0	1023	896	565	998	893
0	1023	1023	573	996	1004
128	0	0	114	27	18
128	0	128	112	33	129
128	0	256	123	48	250
128	0	384	139	66	375
128	0	512	160	85	498
128	0	640	184	105	619
128	0	768	209	124	740
128	0	896	238	145	862
128	0	1023	264	164	981
128	128	0	130	132	43
128	128	128	131	127	127
128	128	256	136	131	252
128	128	384	151	138	376
128	128	512	173	147	498
128	128	640	195	158	618
128	128	768	218	171	739
128	128	896	244	185	862
128	128	1023	271	200	980
128	256	0	171	264	82
128	256	128	170	260	138
128	256	256	175	257	261
128	256	384	188	258	381
128	256	512	206	262	501
128	256	640	223	265	621
128	256	768	243	272	741
128	256	896	267	281	867
128	256	1023	292	288	987
128	384	0	228	391	120
128	384	128	227	387	157
128	384	256	231	379	268
128	384	384	239	383	390
128	384	512	251	383	510
128	384	640	265	382	623
128	384	768	282	387	746
128	384	896	302	392	872
128	384	1023	323	397	992
128	512	0	289	516	158
128	512	128	289	512	187
128	512	256	291	509	283
128	512	384	297	502	395
128	512	512	305	508	516
128	512	640	317	507	635
128	512	768	331	509	749
128	512	896	347	512	871
128	512	1023	365	516	994
128	640	0	354	640	196
128	640	128	353	634	221
128	640	256	354	632	303
128	640	384	359	630	410
128	640	512	365	628	521
128	640	640	374	630	636
128	640	768	385	631	751
128	640	896	399	634	873
128	640	1023	414	635	992
128	768	0	416	756	231
128	768	128	415	752	255
128	768	256	418	752	327
128	768	384	421	751	424
128	768	512	426	749	532
128	768	640	433	749	644
128	768	768	443	752	758
128	768	896	454	754	879
128	768	1023	468	760	1004
128	896	0	481	877	269
128	896	128	479	874	288
128	896	256	480	872	353
128	896	384	483	871	442
128	896	512	487	870	545
128	896	640	493	870	655
128	896	768	502	873	767
128	896	896	513	875	885
128	896	1023	524	877	1003
128	1023	0	545	1000	306
128	1023	128	545	996	323
128	1023	256	546	996	379
128	1023	384	547	994	463
128	1023	512	551	993	562
128	1023	640	556	993	667
128	1023	768	564	996	777
128	1023	896	573	997	892
128	1023	1023	582	997	1006
256	0	0	229	55	36
256	0	128	228	57	131
256	0	256	227	65	251
256	0	384	235	79	375
256	0	512	247	95	497
256	0	640	262	113	620
256	0	768	280	131	739
256	0	896	300	150	864
256	0	1023	319	169	981
256	128	0	234	133	51
256	128	128	231	134	130
256	128	256	236	142	253
256	128	384	244	148	377
256	128	512	253	152	498
256	128	640	267	163	619
256	128	768	284	175	738
256	128	896	305	189	863
256	128	1023	325	204	981
256	256	0	255	260	84
256	256	128	255	258	135
256	256	256	257	257	259
256	256	384	265	260	379
256	256	512	274	262	500
256	256	640	287	268	620
256	256	768	302	273	740
256	256	896	321	283	867
256	256	1023	340	291	986
256	384	0	291	389	122
256	384	128	289	386	155
256	384	256	292	381	264
256	384	384	298	382	388
256	384	512	309	381	505
256	384	640	319	384	628
256	384	768	333	388	751
256	384	896	351	394	877
256	384	1023	367	399	995
256	512	0	337	513	159
256	512	128	338	511	188
256	512	256	339	508	281
256	512	384	346	506	397
256	512	512	352	507	513
256	512	640	361	506	629
256	512	768	373	509	748
256	512	896	389	515	877
256	512	1023	402	517	1000
256	640	0	392	636	196
256	640	128	393	633	221
256	640	256	395	632	303
256	640	384	399	630	409
256	640	512	403	628	520
256	640	640	412	629	637
256	640	768	422	632	753
256	640	896	435	636	879
256	640	1023	446	638	1002
256	768	0	450	756	232
256	768	128	450	752	256
256	768	256	451	752	328
256	768	384	455	751	425
256	768	512	460	751	533
256	768	640	465	751	645
256	768	768	474	753	758
256	768	896	484	756	882
256	768	1023	496	761	1008
256	896	0	509	877	269
256	896	128	508	874	289
256	896	256	510	874	352
256	896	384	511	871	442
256	896	512	515	870	545
256	896	640	522	872	656
256	896	768	530	873	767
256	896	896	539	876	886
256	896	1023	549	879	1005
256	1023	0	571	1002	307
256	1023	128	569	996	324
256	1023	256	570	996	380
256	1023	384	573	997	464
256	1023	512	575	993	561
256	1023	640	581	996	670
256	1023	768	588	996	777
256	1023	896	596	998	895
256	1023	1023	603	998	1006
384	0	0	338	81	53
384	0	128	341	83	136
384	0	256	340	89	256
384	0	384	342	98	378
384	0	512	348	111	499
384	0	640	357	126	620
384	0	768	370	142	741
384	0	896	384	159	862
384	0	1023	399	177	981
384	128	0	342	144	63
384	128	128	339	145	135
384	128	256	341	148	255
384	128	384	345	158	378
384	128	512	352	162	499
384	128	640	361	171	620
384	128	768	373	183	739
384	128	896	388	196	863
384	128	1023	402	210	981
384	256	0	354	263	91
384	256	128	358	259	143
384	256	256	355	262	262
384	256	384	360	265	380
384	256	512	367	267	502
384	256	640	374	273	621
384	256	768	386	280	741
384	256	896	400	288	864
384	256	1023	414	295	982
384	384	0	382	386	125
384	384	128	382	385	153
384	384	256	381	381	262
384	384	384	384	382	387
384	384	512	391	385	507
384	384	640	398	385	626
384	384	768	409	391	746
384	384	896	421	395	867
384	384	1023	436	402	992
384	512	0	414	515	162
384	512	128	413	510	186
384	512	256	416	508	283
384	512	384	419	507	395
384	512	512	425	507	512
384	512	640	431	507	629
384	512	768	441	513	754
384	512	896	451	514	883
384	512	1023	463	517	1010
384	640	0	457	637	199
384	640	128	457	631	226
384	640	256	460	630	306
384	640	384	462	629	410
384	640	512	467	629	522
384	640	640	472	630	636
384	640	768	479	633	755
384	640	896	489	637	883
384	640	1023	499	639	1010
384	768	0	504	756	234
384	768	128	507	754	258
384	768	256	506	752	329
384	768	384	510	753	426
384	768	512	513	751	532
384	768	640	519	753	646
384	768	768	527	755	760
384	768	896	532	758	885
384	768	1023	540	763	1016
384	896	0	558	880	272
384	896	128	557	875	291
384	896	256	558	873	353
384	896	384	560	872	444
384	896	512	562	870	547
384	896	640	569	873	656
384	896	768	575	874	767
384	896	896	586	878	887
384	896	1023	589	881	1009
384	1023	0	611	1001	308
384	1023	128	612	998	325
384	1023	256	614	998	381
384	1023	384	615	997	465
384	1023	512	616	994	563
384	1023	640	621	997	668
384	1023	768	626	995	777
384	1023	896	636	1000	895
384	1023	1023	641	1002	1010
512	0	0	449	108	71
512	0	128	451	109	138
512	0	256	451	113	259
512	0	384	453	121	382
512	0	512	453	130	500
512	0	640	461	143	621
512	0	768	469	157	741
512	0	896	479	172	863
512	0	1023	491	188	981
512	128	0	445	162	78
512	128	128	447	163	141
512	128	256	447	166	258
512	128	384	452	171	380
512	128	512	457	178	501
512	128	640	462	183	621
512	128	768	471	194	739
512	128	896	482	207	864
512	128	1023	493	220	982
512	256	0	465	269	101
512	256	128	461	269	154
512	256	256	458	268	264
512	256	384	463	273	384
512	256	512	466	274	503
512	256	640	472	280	623
512	256	768	482	286	741
512	256	896	491	294	864
512	256	1023	502	303	982
512	384	0	473	386	131
512	384	128	478	385	170
512	384	256	478	385	269
512	384	384	480	387	389
512	384	512	484	388	506
512	384	640	490	390	626
512	384	768	499	396	744
512	384	896	508	400	865
512	384	1023	519	406	983
512	512	0	506	515	167
512	512	128	507	513	188
512	512	256	506	510	277
512	512	384	508	510	393
512	512	512	511	509	514
512	512	640	515	511	632
512	512	768	524	513	751
512	512	896	533	516	876
512	512	1023	542	519	995
512	640	0	538	640	203
512	640	128	540	639	223
512	640	256	540	635	304
512	640	384	542	633	412
512	640	512	543	630	521
512	640	640	549	632	637
512	640	768	554	636	760
512	640	896	562	638	889
512	640	1023	570	640	1016
512	768	0	577	761	239
512	768	128	578	758	259
512	768	256	579	754	332
512	768	384	581	754	427
512	768	512	584	753	534
512	768	640	589	755	647
512	768	768	595	756	760
512	768	896	598	762	890
512	768	1023	604	765	1021
512	896	0	621	881	274
512	896	128	622	877	293
512	896	256	622	874	355
512	896	384	624	874	446
512	896	512	626	873	548
512	896	640	632	875	657
512	896	768	638	876	769
512	896	896	646	879	888
512	896	1023	646	883	1013
512	1023	0	667	1000	310
512	1023	128	671	1000	328
512	1023	256	671	1001	382
512	1023	384	673	1003	463
512	1023	512	673	1000	557
512	1023	640	678	1002	667
512	1023	768	683	1000	777
512	1023	896	691	1000	895
512	1023	1023	693	1002	1011
640	0	0	559	134	88
640	0	128	559	135	146
640	0	256	555	137	261
640	0	384	559	143	381
640	0	512	559	151	501
640	0	640	567	162	623
640	0	768	573	174	741
640	0	896	580	188	864
640	0	1023	589	203	981
640	128	0	553	179	93
640	128	128	555	180	149
640	128	256	556	183	262
640	128	384	559	187	381
640	128	512	562	190	501
640	128	640	567	198	623
